property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0.0,2.0,3,3,4.0,0.0,2944.44,1,0,1,1.0,2.0,1.2
0.0,12.0,3,2,4.0,3.0,1339.67,1,0,2,2.0,1.0,1.36
0.0,2.0,3,3,2.0,0.0,2555.56,0,0,1,1.0,1.0,0.85
1.0,52.0,6,7,4.0,3.0,11286.0,1,0,2,1.0,2.0,27.5
0.0,35.0,3,5,4.0,2.0,2578.38,0,0,1,1.0,2.0,3.0
0.0,7.0,3,4,4.0,3.0,3715.56,1,0,2,1.0,2.0,1.9
0.0,105.0,4,4,4.0,3.0,2000.0,0,0,1,2.0,2.0,1.78
0.0,0.0,3,3,0.0,4.0,1758.0,0,0,1,1.0,1.0,1.08
0.0,105.0,2,2,3.0,2.0,1196.7,0,0,1,2.0,2.0,0.64
0.0,77.0,3,3,3.0,3.0,2724.44,1,0,1,2.0,0.0,3.49
1.0,13.0,4,5,3.0,3.0,5400.0,1,0,1,1.0,1.0,6.8
0.0,16.0,5,5,2.0,3.0,3500.0,1,0,1,0.0,2.0,4.1
0.0,71.0,3,3,3.0,4.0,1639.0,0,1,1,1.0,1.0,2.54
0.0,40.0,4,5,4.0,3.0,2651.35,1,0,1,2.0,1.0,5.5
0.0,8.0,3,4,4.0,3.0,2000.0,1,0,1,0.0,2.0,1.83
0.0,75.0,3,3,3.0,3.0,1833.33,1,0,2,2.0,1.0,2.0
0.0,10.0,4,6,4.0,3.0,2121.62,1,0,1,2.0,2.0,2.1
0.0,56.0,4,4,4.0,0.0,3000.0,0,0,1,1.0,1.0,3.45
0.0,65.0,4,4,4.0,0.0,2666.67,0,0,2,1.0,2.0,2.05
0.0,112.0,4,3,4.0,3.0,1833.33,0,0,2,1.0,2.0,1.5
0.0,110.0,4,4,0.0,4.0,3225.0,0,0,1,1.0,2.0,3.2
0.0,22.0,3,4,4.0,2.0,1955.56,0,0,1,1.0,2.0,2.2
0.0,105.0,3,3,2.0,3.0,1554.95,0,0,1,2.0,0.0,1.19
1.0,59.0,4,4,4.0,0.0,1760.0,1,0,2,2.0,2.0,7.35
0.0,42.0,3,2,3.0,4.0,973.87,0,0,1,1.0,2.0,0.72
1.0,32.0,3,9,2.0,1.0,11111.11,0,0,1,1.0,2.0,8.0
0.0,20.0,3,3,2.0,3.0,1177.78,0,0,1,1.0,2.0,0.6
0.0,79.0,2,2,2.0,1.0,1361.11,1,0,1,2.0,0.0,1.0
0.0,80.0,4,4,2.0,3.0,1810.81,0,0,1,2.0,1.0,1.68
0.0,98.0,3,3,2.0,3.0,1576.58,0,0,1,2.0,2.0,1.1
0.0,100.0,3,4,4.0,3.0,1738.74,1,0,1,2.0,1.0,1.25
1.0,47.0,6,6,4.0,2.0,1836.0,1,0,2,2.0,2.0,4.0
0.0,100.0,3,3,3.0,3.0,1900.0,0,0,1,1.0,2.0,1.55
0.0,111.0,3,3,0.0,1.0,1997.0,0,0,1,1.0,0.0,1.3
0.0,97.0,2,2,2.0,0.0,1189.19,0,1,1,1.0,2.0,0.8
0.0,11.0,2,2,3.0,3.0,1277.66,0,0,2,0.0,2.0,0.98
0.0,12.0,3,2,4.0,3.0,1550.0,1,0,2,0.0,0.0,1.2
0.0,94.0,4,4,4.0,0.0,2480.18,1,0,1,1.0,0.0,3.25
0.0,97.0,2,2,3.0,3.0,1630.0,0,0,1,1.0,2.0,1.19
0.0,105.0,2,2,3.0,1.0,1218.02,0,0,1,2.0,2.0,0.7
0.0,80.0,3,3,2.0,3.0,1421.62,0,0,1,2.0,1.0,1.4
0.0,73.0,3,3,4.0,1.0,2034.0,0,0,2,1.0,2.0,3.35
0.0,113.0,2,2,3.0,3.0,1090.09,0,0,1,0.0,2.0,0.72
0.0,111.0,2,2,1.0,3.0,611.11,0,0,1,2.0,2.0,0.26
0.0,23.0,2,2,1.0,3.0,855.56,0,0,2,1.0,1.0,0.43
0.0,56.0,3,3,3.0,0.0,1486.49,0,1,0,0.0,1.0,1.42
1.0,83.0,4,4,4.0,1.0,2332.0,1,0,2,0.0,1.0,6.5
0.0,19.0,2,2,2.0,1.0,1149.55,0,0,1,2.0,0.0,1.5
0.0,43.0,2,2,2.0,3.0,1479.0,0,0,1,2.0,0.0,2.3
0.0,35.0,3,3,2.0,2.0,1700.0,1,0,1,2.0,0.0,2.25
0.0,45.0,2,2,4.0,3.0,1430.0,0,0,1,2.0,0.0,0.75
0.0,83.0,3,3,3.0,3.0,1780.18,1,0,1,1.0,2.0,1.51
0.0,74.0,3,3,2.0,4.0,1540.0,0,0,1,1.0,1.0,2.0
1.0,56.0,4,4,2.0,0.0,2592.0,1,0,1,1.0,1.0,5.75
0.0,41.0,2,2,4.0,4.0,1538.89,0,0,1,1.0,0.0,1.25
0.0,94.0,3,3,4.0,3.0,1650.0,1,0,0,1.0,2.0,2.12
0.0,107.0,4,5,4.0,3.0,2448.2,1,0,2,2.0,0.0,2.0
0.0,8.0,1,1,1.0,3.0,301.0,0,0,1,2.0,2.0,0.2
0.0,105.0,4,4,4.0,3.0,1900.0,0,0,1,2.0,2.0,1.65
0.0,8.0,3,4,3.0,1.0,2544.44,0,0,1,2.0,0.0,1.8
0.0,41.0,2,2,3.0,0.0,1100.0,0,0,2,1.0,2.0,1.1
0.0,27.0,3,4,4.0,0.0,1729.73,1,0,2,2.0,2.0,1.51
0.0,12.0,2,2,2.0,3.0,1229.73,0,0,2,0.0,2.0,0.65
0.0,94.0,3,3,4.0,3.0,1750.0,1,0,0,1.0,0.0,2.28
0.0,94.0,3,3,0.0,3.0,1780.0,0,0,1,1.0,2.0,0.9
1.0,88.0,2,2,2.0,1.0,745.0,0,0,1,1.0,0.0,0.75
0.0,90.0,2,2,1.0,0.0,1239.0,0,0,1,1.0,2.0,0.75
1.0,33.0,6,8,4.0,0.0,4500.0,1,1,2,2.0,2.0,19.0
0.0,80.0,4,4,2.0,3.0,1738.74,0,1,1,0.0,2.0,1.9
0.0,90.0,1,2,2.0,4.0,820.2,0,0,1,1.0,0.0,1.2
1.0,61.0,6,5,4.0,0.0,3132.0,0,0,1,1.0,2.0,8.0
0.0,77.0,3,4,3.0,3.0,2124.32,1,0,2,0.0,0.0,3.4
1.0,59.0,4,4,4.0,3.0,3060.0,1,0,0,0.0,1.0,12.5
0.0,114.0,3,3,0.0,1.0,1051.11,0,0,1,2.0,1.0,1.65
0.0,76.0,4,4,3.0,3.0,2490.09,1,0,1,1.0,2.0,2.7
0.0,77.0,3,3,3.0,3.0,2048.0,0,1,0,0.0,1.0,2.8
1.0,63.0,4,4,3.0,1.0,2844.0,1,0,1,2.0,2.0,3.51
0.0,107.0,3,3,3.0,3.0,1729.73,0,0,1,1.0,2.0,1.5
0.0,82.0,3,3,3.0,1.0,1756.76,1,1,1,1.0,2.0,1.9
0.0,41.0,2,2,4.0,4.0,1245.95,0,0,1,1.0,2.0,1.27
0.0,113.0,2,2,4.0,0.0,1100.0,0,0,2,0.0,2.0,0.9
0.0,113.0,2,2,2.0,3.0,522.63,0,0,0,2.0,2.0,0.3
0.0,15.0,2,2,0.0,3.0,699.0,0,0,1,1.0,0.0,0.36
1.0,27.0,5,6,4.0,2.0,2430.0,0,0,2,1.0,2.0,6.0
0.0,111.0,3,5,3.0,3.0,1799.1,1,0,2,1.0,0.0,1.45
0.0,105.0,4,4,4.0,3.0,1995.5,0,0,2,1.0,2.0,2.05
0.0,7.0,3,4,4.0,3.0,1727.4,1,0,1,0.0,1.0,0.99
